"id","Env_blast_wave1","Env_blast_wave2","Env_blast_wave3","Env_blast_wave4","Env_blast_wave5","Env_blast_wave6","Env_blast_wave7","Env_blast_wave8","Env_blast_wave9","Env_blast_wave10","Env_blast_wave11","adding_factors","additional_comment","author_id"
"7",8,5,5,5,5,4,5,6,6,5,4,"","","31"
"8",1,5,3,1,1,2,5,10,2,3,4,"","","33"
"9",8,5,6,5,5,5,4,6,6,7,6,"","","32"
"10",3,1,1,5,2,2,2,1,2,6,5,"","","36"
"11",8,1,1,4,2,2,5,5,5,9,8,"","","37"
"12",3,1,1,4,2,2,6,9,7,6,8,"","","38"
"13",10,4,5,6,5,5,6,7,7,9,6,"","","41"
"14",1,3,2,4,7,8,5,6,9,10,11,"","","42"
"15",3,5,3,3,2,2,5,8,6,5,6,"","","43"
"16",9,7,4,7,2,1,6,2,2,2,7,"","","44"
"17",10,8,5,5,5,5,3,5,3,5,5,"","","45"
"18",8,8,6,6,4,4,6,6,4,8,6,"","","46"
