"id","Env_fire1","Env_fire2","Env_fire3","Env_fire4","Env_fire5","Env_fire6","Env_fire7","Env_fire8","Env_fire9","Env_fire10","Env_fire11","adding_factors","additional_comment","author_id"
"4",8,7,7,8,8,8,5,8,8,8,4,"","","31"
"5",3,7,3,1,1,2,5,10,5,9,5,"","","33"
"6",6,8,6,5,6,7,4,6,6,5,6,"","","32"
"7",9,10,5,4,6,6,7,7,5,7,7,"","","36"
"8",5,7,7,8,4,4,8,10,9,4,9,"","","37"
"9",3,2,1,4,2,2,6,9,7,6,6,"","","38"
"10",10,9,9,9,5,6,7,10,9,8,6,"","","41"
"11",1,3,2,4,7,8,5,6,9,10,11,"","","42"
"12",8,4,3,1,1,1,3,5,5,4,4,"","","43"
"13",9,7,4,7,5,7,9,9,9,6,7,"","","44"
"14",10,8,5,5,5,5,3,5,3,5,5,"","","45"
"15",8,8,6,6,6,6,6,6,4,8,6,"","","46"
