"id","S_blast_wave1","S_blast_wave2","S_blast_wave3","S_blast_wave4","S_blast_wave5","S_blast_wave6","S_blast_wave7","S_blast_wave8","S_blast_wave9","S_blast_wave10","adding_factors","additional_comment","author_id"
"9",10,8,9,6,5,5,8,10,9,4,"","","31"
"10",7,7,8,3,3,7,8,8,5,4,"","","32"
"11",10,3,5,3,1,1,1,1,1,1,"","","33"
"12",8,7,9,3,2,4,4,4,4,6,"","","36"
"13",9,8,10,5,4,7,7,2,3,8,"","","37"
"14",8,9,10,3,2,8,6,5,4,9,"","","38"
"15",10,5,8,4,4,4,7,7,4,7,"","","41"
"16",1,2,3,4,5,6,7,8,9,10,"","","42"
"17",10,6,10,2,5,1,10,8,7,5,"","","43"
"18",9,7,8,3,3,3,8,9,7,5,"","","44"
"19",8,8,6,3,3,6,8,10,10,3,"","","46"
